Country,Species_Name,CrabLobShrimp,FAOFishingArea,Unit (Name),Unit,[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019],[2020],[2021],ThreeYearTotal,TwentyYearTotal
United States of America,Golden deepsea crab,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,264,401,395,429,343,311,275,156,130,96,65,291,3119
United States of America,Marine crabs nei,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,17,0,6,72,86,77,0,5,196,160,137,759,377,468,193,121,423,346,234,146,144,170,222,198,220,247,13,9,2,12,32,20,10,26,24,25,41,45,111,1840
United States of America,Green crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,49,57,28,32,29,24,20,28,15,25,0,0,0,0,28,24,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0,55,19,39,86,14,16,49,0,0,6,6,17,97,88,78,75,102,128,92,92,78,64,75,73,51,45,112,208,1279
United States of America,Marine crabs nei,1,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1005,537,463,374,78,13,12,170,2,14,11,2395,892,1453,2337,926,380,189,139,34,78,46,62,147,34,41,40,31,41,39,36,46,49,62,51,66,75,66,64,57,64,185,1117
United States of America,Tanner crabs nei,1,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,54,1473,5083,6600,5800,20900,28000,28988,21254,36636,44602,58744,59600,55191,48750,31192,27705,22120,38893,49896,51625,66373,74682,96795,161989,158777,116000,0,92,23,20,19,21,44,30,30,27,34,27,14,13,12,26,0,0,0,0,0,8,1,0,0,0,0,0,0,192
United States of America,Horseshoe crab,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,214,138,0,0,0,0,0,0,0,0,0,10,9,8,23,12,15,10,10,7,7,8,9,24,128
United States of America,Black stone crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,1,1,1,3,2,2,2,2,2,2,3,3,3,3,2,3,3,4,4,3,3,2,3,4,9,55
United States of America,Marine crabs nei,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,219,137,40,349,386,321,655,576,559,630,774,779,793,887,740,579,867,729,725,576,507,0,0,0,0,0,0,0,5,5,6,4,3,5,6,5,5,0,5,0,1,4,0,0,0,0,0,0,0,54
United States of America,Slipper lobsters nei,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,21,10,5,4,4,4,9,10,7,2,2,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,42
United States of America,King crab,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,7,6,2,3,1,2,8,11,38
United States of America,Banded spiny lobster,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,2,2,1,2,1,0,3,31
United States of America,Nimble spray crab,1,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,1,0,0,1,0,0,1,12
United States of America,Caribbean spiny lobster,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3
United States of America,Tanner crab,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3
United States of America,Tanner crabs nei,1,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
United States of America,Antarctic stone crab,1,"Atlantic, Antarctic",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,283,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,Marine crustaceans nei,NEI,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
